Lon,Lat,Name,County,Pop_2010,Pop_2000,Pop_1990,Type
-109.2559967,45.97249985,Rapelje,Stillwater,80,101,69,2-mile diameter circle
-109.1669998,45.35910034,Roberts,Carbon,361,275,217,Census Designated Place
-106.4469986,46.27500153,Rosebud,Rosebud,111,89,44,Census Designated Place
-108.9589996,47.33319855,Roy,Fergus,108,165,101,Census Designated Place
-110.5540009,48.55920029,Rudyard,Hill,258,274,308,Census Designated Place
-115.1009979,47.29919815,Saint Regis,Mineral,319,309,327,Census Designated Place
-111.1679993,47.39910126,Sand Coulee,Cascade,191,135,112,Manually defined region
-104.3460007,47.45339966,Savage,Richland,320,295,267,Census Designated Place with Alternate Name
-113.4789963,47.1739006,Seeley Lake,Missoula,1659,1439,933,Census Designated Place
-108.3460007,45.94369888,Shepherd,Yellowstone,516,471,319,Census Designated Place
-111.9280014,47.49119949,Simms,Cascade,354,371,292,Census Designated Place
-114.2249985,48.08050156,Somers,Flathead,1109,872,734,Census Designated Place
-111.7210007,47.53290176,Sun River,Cascade,124,134,115,Census Designated Place
-113.8460007,47.92959976,Swan Lake,Lake,113,117,57,Census Designated Place
-108.4059982,48.84600067,Turner,Blaine,61,60,68,Census Designated Place
-111.5070038,47.43190002,Ulm,Cascade,738,749,448,Census Designated Place
-111.5459976,47.56010056,Vaughn,Cascade,658,697,643,Census Designated Place
-114.1490021,46.41699982,Victor,Ravalli,745,526,358,Census Designated Place
-113.9830017,48.49629974,West Glacier,Flathead,227,168,172,Census Designated Place
-107.6279984,48.7602005,Whitewater,Phillips,64,91,42,Census Designated Place
-111.6449966,45.82590103,Willow Creek,Gallatin,210,255,109,Census Designated Place
-110.6600037,45.99440002,Wilsall,Park,178,231,156,Census Designated Place
-108.1620026,45.96060181,Worden,Yellowstone,577,505,459,Census Designated Place
-111.9860001,46.46549988,Clancy,Jefferson,1029,1048,840,Manually defined region
-112.3939972,47.49140167,Augusta,Lewis and Clark,309,294,305,Census Designated Place
